Date,US_GDP
1990-06-30,2.23062202
1990-09-30,3.232927558
1990-12-31,2.033266271
1991-03-31,3.750176278
1991-06-30,1.661478045
1991-09-30,2.145297059
1991-12-31,2.503572026
1992-03-31,1.780392603
1992-06-30,0.701694982
1992-09-30,0.067624061
1992-12-31,1.560677644
1993-03-31,1.990657829
1993-06-30,2.565331673
1993-09-30,1.843683328
1993-12-31,1.913663988
1994-03-31,2.916855703
1994-06-30,1.631592096
1994-09-30,1.682199111
1994-12-31,3.930438208
1995-03-31,2.090489418
1995-06-30,2.021824591
1995-09-30,2.075873115
1995-12-31,1.870552316
1996-03-31,1.908135199
1996-06-30,2.020152462
1996-09-30,1.758931416
1996-12-31,1.691579214
1997-03-31,0.46806387
1997-06-30,3.550552773
1997-09-30,0.791744376
1997-12-31,-0.45599433
1998-03-31,-6.81802198
1998-06-30,-0.80793206
1998-09-30,1.747151805
1998-12-31,2.496049822
1999-03-31,3.03463255
1999-06-30,4.383164849
1999-09-30,2.781170984
1999-12-31,2.886255375
2000-03-31,1.895051738
2000-06-30,1.332510215
2000-09-30,2.754591172
2000-12-31,-0.32445797
2001-03-31,1.225554801
2001-06-30,1.298881026
2001-09-30,1.350193624
2001-12-31,1.762585517
2002-03-31,2.544481592
2002-06-30,1.812135416
2002-09-30,2.021812956
2002-12-31,1.097353992
2003-03-31,-0.65915983
2003-06-30,-0.15414686
2003-09-30,1.932669509
2003-12-31,2.639479586
2004-03-31,1.254800591
2004-06-30,0.763499369
2004-09-30,0.405586129
2004-12-31,0.757933774
2005-03-31,0.850903369
2005-06-30,1.887062862
2005-09-30,1.505330894
2005-12-31,1.012464666
2006-03-31,1.639117138
2006-06-30,0.730602028
2006-09-30,1.613954951
2006-12-31,0.779357615
2007-03-31,1.674043596
2007-06-30,1.730290857
2007-09-30,1.173831453
2007-12-31,2.156948555
2008-03-31,0.402394858
2008-06-30,0.523473003
2008-09-30,0.815881043
2008-12-31,-3.28388934
2009-03-31,0.089986722
2009-06-30,1.332777638
2009-09-30,2.992674785
2009-12-31,0.746867545
2010-03-31,1.959076739
2010-06-30,1.899801372
2010-09-30,1.15521508
2010-12-31,1.219318711
2011-03-31,0.933130719
2011-06-30,0.490791061
2011-09-30,0.526323638
2011-12-31,0.472298068
2012-03-31,0.865665953
2012-06-30,0.565974618
2012-09-30,0.45177694
2012-12-31,0.502248725
2013-03-31,0.86312085
2013-06-30,1.165850338
2013-09-30,0.899048547
2013-12-31,0.775832659
2014-03-31,0.930688362
2014-06-30,0.849742634
2014-09-30,0.343530965
2014-12-31,0.427442707
2015-03-31,0.837872972
2015-06-30,0.419668793
2015-09-30,1.513074861
2015-12-31,0.659315488
2016-03-31,0.307277543
2016-06-30,1.146251409
2016-09-30,0.494029045
2016-12-31,0.602121187
2017-03-31,0.962440835
2017-06-30,0.671283479
2017-09-30,1.482113673
2017-12-31,-0.26575232
2018-03-31,1.148518541
2018-06-30,0.633608551
2018-09-30,0.688281747
2018-12-31,0.822000181
2019-03-31,-0.19968764
2019-06-30,1.046022679
2019-09-30,0.405037445
2019-12-31,1.288454855
2020-03-31,-1.26150672
2020-06-30,-3.15073820
2020-09-30,2.233424391
2020-12-31,1.142221229
2021-03-31,1.740407308
2021-06-30,0.770711605
2021-09-30,0.311163633
2021-12-31,1.118547956
